,Name of asteroid,x,y,z,v_x,v_y,v_z
0,a0000132,-195369322.793 km,132495151.978 km,-48561229.7188 km,-762.322825551 km / s,-190.631052285 km / s,-1851.55792277 km / s
1,a0000391,231593541.364 km,-13640705.9693 km,50228768.6348 km,4210.29593465 km / s,965.891498793 km / s,10321.4780519 km / s
2,a0000433,-95965760.0315 km,130293632.171 km,57178550.0937 km,-269.192005813 km / s,-68.465696618 km / s,-609.340389669 km / s
3,a0000434,128440332.348 km,-234604440.226 km,-8902662.37029 km,8288.06806727 km / s,1857.98818856 km / s,20281.8558232 km / s
4,a0000475,216884963.462 km,-42374693.4488 km,-87901527.3535 km,4730.67571172 km / s,1074.71197954 km / s,11591.9950476 km / s
5,a0000512,237260212.722 km,-1910058.87343 km,-38899045.9668 km,3991.45098287 km / s,914.699051792 km / s,9791.4467234 km / s
6,a0000699,195670153.23 km,-114278825.2 km,16426454.0899 km,6114.13806233 km / s,1385.78865381 km / s,14974.3208993 km / s
7,a0000719,164023102.007 km,-61162314.3676 km,-10926810.8506 km,4877.88107088 km / s,1117.28957889 km / s,11941.1238023 km / s
8,a0000887,-33840514.8146 km,146320455.484 km,58669666.3178 km,-328.16196429 km / s,-74.9569220245 km / s,-717.797254056 km / s
9,a0000985,240061276.29 km,-46895838.245 km,-4039910.3312 km,4929.11542529 km / s,1122.33637252 km / s,12086.3788811 km / s
10,a0001009,117480070.932 km,163346408.169 km,63852182.916 km,31.020754844 km / s,29.2330796421 km / s,129.07778088 km / s
11,a0001011,-139296979.746 km,174215485.269 km,72744308.0272 km,-1375.26057994 km / s,-319.15564388 km / s,-3321.38087568 km / s
12,a0001019,-7641481.49573 km,-265568124.823 km,-4136866.90979 km,8300.78424741 km / s,1848.70547673 km / s,20304.8914632 km / s
13,a0001025,-257070857.239 km,126284923.651 km,28113129.2154 km,-929.826168686 km / s,-226.508562446 km / s,-2251.51099268 km / s
14,a0001036,169240350.528 km,-49702538.5886 km,45318948.9008 km,4666.64594296 km / s,1071.5622049 km / s,11426.2132705 km / s
15,a0001065,196663851.279 km,-132814513.135 km,-62271837.0445 km,6500.84369183 km / s,1465.93185923 km / s,15919.2957243 km / s
16,a0001103,237079077.005 km,-91775085.7854 km,45721244.9445 km,5838.40452632 km / s,1322.35945301 km / s,14313.5020844 km / s
17,a0001131,228778117.264 km,-38679954.2498 km,-30541006.6841 km,4709.46457765 km / s,1074.24868 km / s,11545.2427337 km / s
18,a0001134,193660171.885 km,-58329506.6178 km,-53456681.2864 km,4949.82599634 km / s,1124.54621422 km / s,12129.3539808 km / s
19,a0001139,106972853.115 km,178674885.405 km,53507389.8561 km,-332.714572638 km / s,-55.726870656 km / s,-762.82727503 km / s
20,a0001170,117753489.545 km,147830966.522 km,150405305.023 km,344.238475323 km / s,90.0147265792 km / s,905.672693074 km / s
21,a0001198,210623007.376 km,-61142228.089 km,-15240993.3421 km,5087.8493211 km / s,1158.73844537 km / s,12468.8610211 km / s
22,a0001204,182178834.793 km,-135426880.158 km,-65250901.7236 km,6490.50744635 km / s,1464.45829067 km / s,15887.8844839 km / s
23,a0001221,-157931958.417 km,-49836664.2679 km,-5555607.0172 km,3168.09387022 km / s,672.256985828 km / s,7743.04297306 km / s
24,a0001235,133010923.242 km,142569199.755 km,138858558.078 km,523.252254844 km / s,128.400454909 km / s,1340.77524072 km / s
25,a0001293,215774651.29 km,-98515399.1447 km,-18773203.6221 km,5882.80350536 km / s,1333.34069525 km / s,14410.395268 km / s
26,a0001310,12169064.8924 km,163846809.84 km,161492370.451 km,-470.656648036 km / s,-98.416893959 km / s,-1087.39266255 km / s
27,a0001316,207847610.861 km,84990371.8764 km,94020481.2684 km,2067.11086336 km / s,487.356192544 km / s,5089.59377946 km / s
28,a0001355,-238222409.121 km,-94938519.9124 km,-79094242.2362 km,3716.55803305 km / s,805.805573314 km / s,9102.99865244 km / s
29,a0001374,237776724.973 km,4474477.61088 km,23125222.5681 km,3858.47126994 km / s,884.89810847 km / s,9474.67008918 km / s
30,a0001453,-46661519.5221 km,-187223490.017 km,-198158651.389 km,6509.80521373 km / s,1446.79070893 km / s,15917.0003134 km / s
31,a0001468,206120742.315 km,-110770240.618 km,-30614287.5069 km,6088.40907452 km / s,1376.25944763 km / s,14915.6840886 km / s
32,a0001474,124139190.656 km,87087378.8022 km,139105710.6 km,1621.52075094 km / s,384.391918018 km / s,4038.22699657 km / s
33,a0001508,-67087713.1254 km,139456370.942 km,187037661.845 km,-331.873152688 km / s,-76.431065619 km / s,-752.527958721 km / s
34,a0001509,-249336069.437 km,-2500421.36974 km,-113133511.784 km,1769.95185664 km / s,373.00887159 km / s,4328.04863332 km / s
35,a0001565,204863167.299 km,35036664.8277 km,98650960.9238 km,3077.42465371 km / s,713.772000916 km / s,7567.19394708 km / s
36,a0001566,-16297617.9138 km,20094538.8918 km,14689127.2311 km,2314.95108161 km / s,478.78058802 km / s,5873.51540685 km / s
37,a0001580,-109817091.641 km,-130754272.51 km,-6295256.81307 km,5069.04571354 km / s,1120.67597143 km / s,12378.8425591 km / s
38,a0001593,133275892.504 km,-178292649.039 km,-81868669.3443 km,7153.23873273 km / s,1608.40997919 km / s,17496.9545872 km / s
39,a0001600,-86704511.1146 km,192175161.326 km,164319459.073 km,-1504.51666619 km / s,-342.602924138 km / s,-3638.71086961 km / s
40,a0001620,-36973107.5848 km,-94945350.1612 km,-72401611.5859 km,4669.2806173 km / s,1023.83903813 km / s,11364.5446491 km / s
41,a0001627,82186362.6767 km,-134490139.103 km,-52959689.3696 km,6021.45280604 km / s,1355.44978786 km / s,14704.5351482 km / s
42,a0001640,217879184.287 km,-34308145.1311 km,-17799630.5276 km,4565.91216066 km / s,1041.81703043 km / s,11198.6251592 km / s
43,a0001656,-60002027.888 km,239652874.875 km,-4485982.97773 km,-2356.76446395 km / s,-527.649420887 km / s,-5723.67186043 km / s
