,asteroid,minimum_distance (km),days from initial date
0,a0000132,115460347.734,593
1,a0000391,89307881.6503,301
2,a0000433,75353755.0587,523
3,a0000434,133589037.594,205
4,a0000475,40828533.1983,1645
5,a0000512,39696611.782,289
6,a0000699,79103403.9013,253
7,a0000719,38588019.5129,261
8,a0000887,79450411.1573,473
9,a0000985,45073152.9423,276
10,a0001009,12510951.7862,1760
11,a0001011,17282260.9242,531
12,a0001019,111988675.552,141
13,a0001025,49839604.2002,593
14,a0001036,77898421.1006,278
15,a0001065,39510599.7291,234
16,a0001103,96821250.4883,268
17,a0001131,28173905.7181,274
18,a0001134,7120242.54027,1638
19,a0001139,25842892.0804,393
20,a0001170,78421719.5195,393
21,a0001198,23922765.5213,267
22,a0001204,29869034.7862,230
23,a0001221,78017775.7521,7
24,a0001235,70806263.8638,385
25,a0001293,44567479.3203,254
26,a0001310,79125924.7994,1820
27,a0001316,61408026.0212,341
28,a0001355,31906438.1939,1396
29,a0001374,40790334.6637,298
30,a0001453,85263499.746,1506
31,a0001468,39384178.6678,247
32,a0001474,101042566.112,371
33,a0001508,112538601.688,1178
34,a0001509,102688547.282,1364
35,a0001565,82412589.3088,324
36,a0001566,204911731.054,1796
37,a0001580,82257652.0827,71
38,a0001593,28672271.9168,204
39,a0001600,64959828.8915,1183
40,a0001620,103821429.609,123
41,a0001627,45660904.347,198
42,a0001640,16427301.1804,277
43,a0001656,109459077.58,483
44,a0001685,102388406.069,1731
45,a0001727,77814119.9741,450
46,a0001747,11986290.0244,1486
47,a0001750,79302945.2394,332
48,a0001862,112012105.736,1615
49,a0001863,102474342.177,123
50,a0001864,123660110.779,1633
51,a0001865,160681921.612,0
52,a0001866,121551498.487,1670
53,a0001876,101402499.11,1352
54,a0001915,85796438.5524,588
55,a0001916,22903869.8276,914
56,a0001917,51246455.2873,1701
57,a0001919,77131435.9225,1158
58,a0001920,70811580.6372,1705
59,a0001943,72242583.5068,64
60,a0001951,93167844.6755,159
61,a0001980,96743154.1144,299
62,a0001981,156324300.193,149
63,a0002001,53165474.3614,1409
64,a0002035,18854587.1289,1533
65,a0002044,67560364.0247,1165
66,a0002047,93600559.6607,1649
67,a0002048,120708611.938,132
68,a0002049,91559044.2635,268
69,a0002055,68622225.2195,1432
70,a0002059,26656274.5221,1719
71,a0002061,52108083.1495,1675
72,a0002063,127731449.934,1811
73,a0002064,12565368.7995,203
74,a0002074,56574422.4464,376
75,a0002077,37357688.6955,386
76,a0002078,80069867.0447,337
77,a0002083,74749030.0364,533
78,a0002099,40704798.4759,325
79,a0002101,145058809.648,1711
80,a0002102,191496265.826,537
81,a0002131,100406783.676,260
82,a0002135,142098836.505,1204
83,a0002150,102125553.748,421
84,a0002201,152594021.413,643
85,a0002202,45408320.239,1711
86,a0002204,86669775.2356,441
87,a0002212,172763189.432,110
88,a0002253,38527682.808,227
89,a0002272,111647389.683,462
90,a0002329,95879082.7448,225
91,a0002335,134622186.048,466
92,a0002368,32116386.8039,245
93,a0002423,35497775.2265,269
94,a0002449,105948665.337,166
95,a0002491,24991839.9067,526
96,a0002495,83855923.5516,257
97,a0002577,102830889.635,490
98,a0002608,80511867.7298,20
99,a0002629,71282657.356,1517
100,a0002735,94352407.25,365
101,a0002744,32185477.2545,291
102,a0002937,96285271.3698,254
103,a0002968,44845166.0631,209
104,a0003022,99426752.4779,406
105,a0003040,171452304.811,430
106,a0003043,66977677.6424,328
107,a0003086,80699904.9203,1431
108,a0003101,84660730.1027,1670
109,a0003102,38243935.0543,239
110,a0003103,89833030.1169,1701
111,a0003122,69678029.7995,983
112,a0003163,34873283.6657,221
113,a0003169,50217889.4332,1220
114,a0003198,39134255.5847,1212
115,a0003199,101308824.144,338
116,a0003200,202379834.272,145
117,a0003225,97222735.0555,243
118,a0003255,81821441.3635,388
119,a0003266,98164941.323,1676
120,a0003267,81671377.7947,395
121,a0003270,72659776.2445,510
122,a0003271,43929626.2498,228
123,a0003287,68851774.8042,210
124,a0003288,70651967.1547,29
125,a0003309,38385977.9236,1478
126,a0003343,52253578.7453,1525
127,a0003352,67099071.9856,523
128,a0003353,69857282.0146,158
129,a0003360,128001987.043,206
130,a0003361,123248524.436,1223
131,a0003392,103430801.02,572
132,a0003397,84335938.3969,1208
133,a0003400,96269851.4792,579
134,a0003401,78724382.567,1793
135,a0003402,16286850.1391,888
136,a0003416,52234663.3922,1600
137,a0003443,67122398.3961,191
138,a0003447,46522189.0293,1306
139,a0003483,89676621.6922,1674
140,a0003496,111712540.808,383
141,a0003551,46564266.3862,1679
142,a0003552,55958544.5873,1595
143,a0003553,147924666.347,1309
144,a0003581,123967631.962,240
145,a0003635,86225879.7261,525
146,a0003671,64268009.78,174
147,a0003674,82312551.4852,352
148,a0003691,73011136.5072,745
149,a0003737,81241506.4167,314
150,a0003752,158941945.46,500
151,a0003757,83137277.7416,1826
152,a0003800,53029812.102,34
153,a0003833,15551999.612,267
154,a0003838,155347331.687,175
155,a0003854,94517935.5846,1153
156,a0003858,38372551.9959,233
157,a0003873,107628336.783,603
158,a0003880,93034348.7573,251
159,a0003908,56732893.4412,1711
160,a0003920,40872127.8983,970
161,a0003940,102075772.699,566
162,a0003988,66855300.3188,223
163,a0004015,64697591.711,1672
164,a0004031,78975579.3329,1779
